carnet	grupo
C6D270	01
C6D516	01
C5D447	01
C6D710	01
C6E738	01
C12698	01
C6F078	01
C4F045	01
C6F643	01
C47673	01
C6H280	01
C6H486	01
C6H626	01
C5G661	01
C15017	01
C6J781	01
C16694	01
C4J956	01
C6N196	01
C6P270	01
C38650	01
C6E631	02
C6H502	02
C6J480	02
C6F831	02
C6M658	02
C6K051	02
C6F972	02
C6M962	02
C6C128	02
C5G190	02
C4D902	02
C41840	02
C6H217	02
C23644	02
C6D717	02
C6N732	02
C6J817	02
C4D265	02
C6C219	02
C6H036	02
C6C683	03
C6D298	03
C6E049	03
C6E934	03
C6F087	03
C6F221	03
C6H284	03
C6J329	03
C6J409	03
C6J755	03
C6J976	03
C6M259	03
C6M384	03
C6M619	03
C5J686	03
C6M899	03
C6N291	03
C6N594	03
C6N678	03
C6N926	03
C6N981	03
C36370	04
C5C743	04
C6C134	04
C6D714	04
C6D796	04
C6D817	04
C6E428	04
C6E448	04
C6H086	04
C6J186	04
C6J214	04
C6K604	04
C6K904	04
C6K949	04
C6M207	04
C6M326	04
C6M369	04
C6N030	04
C6N052	04
C6N554	04
C6P102	04
C32715	05
C6D595	05
C6E291	05
C6F410	05
C6F475	05
C6H564	05
C6H576	05
C6J149	05
C6K050	05
C6K468	05
C6K596	05
C6M153	05
C6M671	05
C6M734	05
C6N099	05
C6N101	05
C6P414	05
C6P512	05
C6P845	05
C6P853	05
C6Q124	05
C22732	06
C27336	06
C6C267	06
C6C110	06
C6C662	06
C6D601	06
C6D912	06
C6D171	06
C6E014	06
C6E975	06
C6E968	06
C6F310	06
C6F377	06
C6F960	06
C6H934	06
C6K100	06
C6M649	06
C6M464	06
C6N171	06
C6N136	06
C10231	07
990634	07
C6P618	07
C6F196	07
C6F230	07
C6F681	07
C6P670	07
C6H469	07
C4G711	07
C6P814	07
C6J145	07
C04975	07
C6P847	07
C6P919	07
C6M132	07
C5J781	07
C6N290	07
C6N456	07
C6N647	07
C6Q167	07
765601	08
C20656	08
C27171	08
C32253	08
C4E127	08
C4E990	08
C4L669	08
C5C539	08
C5D722	08
C5F137	08
C5F936	08
C5J152	08
C5J364	08
C5L548	08
C6C740	08
C6K793	08
C6N421	08
C6P570	08
C6P592	08
C6P601	08
C30970	09
C6C031	09
C6C335	09
C6C990	09
C6D245	09
C6E077	09
C6E248	09
C6E333	09
C6E800	09
C6E943	09
C6F428	09
C6H824	09
C6J061	09
C6J068	09
C6J251	09
C6J565	09
C6J969	09
C6K735	09
C6K956	09
C6K973	09
C6M780	09
C6P283	09
X00000	Test
